title,authors,venue,date,cited_by,doi,abstract,query,rank_type,rank
The SF-36 arthritis-specific health index (ASHI) I. Development and cross-validation of scoring algorithms,Ware J.E.,Medical Care,1999-01-01,62,10.1097/00005650-199905001-00004,,Q1 split 策略与故障诊断,被引最多,5
MoS2 nanoflower-mediated enhanced intratumoral penetration and piezoelectric catalytic therapy,He Y.,Biomaterials,2022-11-01,57,10.1016/j.biomaterials.2022.121816,,Q1 split 策略与故障诊断,被引最多,6
Multibranch and Multiscale Dynamic Convolutional Network for Small Sample Fault Diagnosis of Rotating Machinery,Liang H.,IEEE Sensors Journal,2023-04-15,56,10.1109/JSEN.2023.3255203,,Q1 split 策略与故障诊断,被引最多,7
Wind turbines anomaly detection based on power curves and ensemble learning,Moreno S.R.,Iet Renewable Power Generation,2020-12-28,49,10.1049/iet-rpg.2020.0224,,Q1 split 策略与故障诊断,被引最多,8
Prediction of Strength and CBR Characteristics of Chemically Stabilized Coal Gangue: ANN and Random Forest Tree Approach,Amin M.N.,Materials,2022-06-01,45,10.3390/ma15124330,,Q1 split 策略与故障诊断,被引最多,9
Transfer Learning-Based Condition Monitoring of Single Point Cutting Tool,Naveen Venkatesh S.,Computational Intelligence and Neuroscience,2022-01-01,27,10.1155/2022/3205960,,Q1 split 策略与故障诊断,被引最多,10
A novel arc signal and motor power synchronization-based method for precise contact fault diagnosis of GIS disconnector,He S.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-44930-6,,Q2 统计功效与状态监测,相关度/默认,1
Thermal-Fluid Modeling and Kriging Surrogate-Assisted Lightweight Simulation of a Piston Engine for Large Unmanned Aerial Vehicles,Li N.,Applied Sciences Switzerland,2026-07-01,0,10.3390/app16147012,,Q2 统计功效与状态监测,相关度/默认,2
An Adaptive Machine Learning Model for Motor Health Monitoring and Fault Diagnosis,Dhas H.M.,Proceedings of the 4th International Conference on Intelligent Data Communication Technologies and Internet of Things Idciot 2026,2026-01-01,0,10.1109/IDCIoT67589.2026.11455697,,Q2 统计功效与状态监测,相关度/默认,3
Instantaneous Power Signal in Short-Circuit Diagnosis of Induction Motors Using a FEM Model,Krzysztofiak M.S.,Power Electronics and Drives,2026-01-01,0,10.2478/pead-2026-0017,,Q2 统计功效与状态监测,相关度/默认,4
Physics-Guided Adaptive DBSCAN for Sensor Data Quality Assurance in Wind Turbine SCADA Systems,Cui H.,IEEE Sensors Journal,2026-01-01,0,10.1109/JSEN.2026.3710027,,Q2 统计功效与状态监测,相关度/默认,5
Selection of diagnostic signals in case of stator core faults in induction motor,Oziębło P.,Przeglad Elektrotechniczny,2026-01-01,0,10.15199/48.2026.04.20,,Q2 统计功效与状态监测,相关度/默认,6
AI-Embedded Optical Modules With Millisecond-Granularity Power Analysis for Autonomous Metro Transport Network and Field Trial,Chen X.,Journal of Lightwave Technology,2025-11-15,0,10.1109/JLT.2025.3610489,,Q2 统计功效与状态监测,相关度/默认,7
Clever predictive maintenance system for industrial machinery utilizing XGBoost algorithm versus recurrent neural network (RNN) algorithm,Rajaram G.,Aip Conference Proceedings,2025-07-30,6,10.1063/5.0277133,,Q2 统计功效与状态监测,相关度/默认,8
Enhancing the Accuracy in Predictive Maintenance of Manufacturing in Cars Using Random Forest Algorithm in Comparison with Artificial Neural Networks,Ajithkumar J.,Aip Conference Proceedings,2025-04-11,0,10.1063/5.0263462,,Q2 统计功效与状态监测,相关度/默认,9
A Wavelet-Based Apparent Power Analysis for Winding Fault Detection and Severity Level Determination in a Single-Phase Transformer,Arehpanahi M.,IETE Technical Review Institution of Electronics and Telecommunication Engineers India,2025-01-01,1,10.1080/02564602.2025.2570202,,Q2 统计功效与状态监测,相关度/默认,10
Condition monitoring and fault diagnosis of a wind turbine synchronous generator drive train,Yang W.,Iet Renewable Power Generation,2009-01-01,182,10.1049/iet-rpg:20080006,,Q2 统计功效与状态监测,被引最多,1
Statistical principles for ecological status classification of Water Framework Directive monitoring data,Carstensen J.,Marine Pollution Bulletin,2007-01-01,70,10.1016/j.marpolbul.2006.08.016,,Q2 统计功效与状态监测,被引最多,2
Automotive engine FDI by application of an automated model-based and data-driven design methodology,Svärd C.,Control Engineering Practice,2013-04-01,50,10.1016/j.conengprac.2012.12.006,,Q2 统计功效与状态监测,被引最多,3
An on-line condition monitoring system for induction motors via instantaneous power analysis,Irfan M.,Journal of Mechanical Science and Technology,2015-04-01,33,10.1007/s12206-015-0321-9,,Q2 统计功效与状态监测,被引最多,4
Silicon-level solutions to counteract passive and active attacks,Guilley S.,Fault Diagnosis and Tolerance in Cryptography Proceedings of the 5th International Workshop Fdtc 2008,2008-10-06,33,10.1109/FDTC.2008.18,,Q2 统计功效与状态监测,被引最多,5
Condition monitoring of induction motors via instantaneous power analysis,Irfan M.,Journal of Intelligent Manufacturing,2017-08-01,31,10.1007/s10845-015-1048-2,,Q2 统计功效与状态监测,被引最多,6
Determination of minimum sample size for fault diagnosis of automobile hydraulic brake system using power analysis,Indira V.,Engineering Science and Technology an International Journal,2015-03-01,29,10.1016/j.jestch.2014.09.007,,Q2 统计功效与状态监测,被引最多,7
Condition monitoring of a wind turbine DFIG by current or power analysis,Crabtree C.,Iet Conference Publications,2010-09-02,27,10.1049/cp.2010.0027,,Q2 统计功效与状态监测,被引最多,8
Research Status and Prospect of Condition Based Maintenance Technology for Offshore Wind Turbine Electrical Equipment,Gao C.,Diangong Jishu Xuebao Transactions of China Electrotechnical Society,2022-06-01,26,10.19595/j.cnki.1000-6753.tces.L90275,,Q2 统计功效与状态监测,被引最多,9
Minimum sample size determination of vibration signals in machine learning approach to fault diagnosis using power analysis,Indira V.,Expert Systems with Applications,2010-01-01,25,10.1016/j.eswa.2010.06.068,,Q2 统计功效与状态监测,被引最多,10
"22nd International Conference on Intelligent Computing, ICIC 2026",,Lecture Notes in Computer Science,2027-01-01,0,,,Q3 时间序列异常检测的评价批评,相关度/默认,1
A problem-oriented taxonomy of evaluation metrics for time series anomaly detection,Yang K.,Neurocomputing,2026-11-07,0,10.1016/j.neucom.2026.134547,,Q3 时间序列异常检测的评价批评,相关度/默认,2
Evaluating univariate time series anomaly detection: Results and practical guidelines from the UCR Anomaly Archive,Cacciagrano D.,Intelligent Systems with Applications,2026-09-01,0,10.1016/j.iswa.2026.200717,,Q3 时间序列异常检测的评价批评,相关度/默认,3
Aligning time series anomaly detection research with practical applications,Barrish D.,Transactions on Machine Learning Research,2026-01-01,1,,,Q3 时间序列异常检测的评价批评,相关度/默认,4
Spatio-Temporal Attention Graph Neural Network: Explaining causalities with Attention,Koistinen K.,IEEE Access,2026-01-01,0,10.1109/ACCESS.2026.3702352,,Q3 时间序列异常检测的评价批评,相关度/默认,5
SimAD: A Simple Dissimilarity-Based Approach for Time-Series Anomaly Detection,Zhong Z.,IEEE Transactions on Neural Networks and Learning Systems,2025-11-01,18,10.1109/TNNLS.2025.3590220,,Q3 时间序列异常检测的评价批评,相关度/默认,6
Generalized Discords for Time Series Anomaly Detection with Flexible Subsequence Lengths,Imamura M.,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2025-08-03,2,10.1145/3711896.3736977,,Q3 时间序列异常检测的评价批评,相关度/默认,7
ModernTCN Revisited: A Critical Look at the Experimental Setup in General Time Series Analysis,Akaçık Ö.,Transactions on Machine Learning Research,2025-01-01,0,,,Q3 时间序列异常检测的评价批评,相关度/默认,8
A Robust Framework for Evaluation of Unsupervised Time-Series Anomaly Detection,Gungor O.,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,2025-01-01,8,10.1007/978-3-031-78395-1_4,,Q3 时间序列异常检测的评价批评,相关度/默认,9
"10th International Conference on Machine Learning, Optimization, and Data Science, LOD 2024",,Lecture Notes in Computer Science,2025-01-01,0,,,Q3 时间序列异常检测的评价批评,相关度/默认,10
Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress,Wu R.,IEEE Transactions on Knowledge and Data Engineering,2023-03-01,201,10.1109/TKDE.2021.3112126,,Q3 时间序列异常检测的评价批评,被引最多,1
The Elephant in the Room: Towards A Reliable Time-Series Anomaly Detection Benchmark,Liu Q.,Advances in Neural Information Processing Systems,2024-01-01,97,,,Q3 时间序列异常检测的评价批评,被引最多,2
TimeSeAD: Benchmarking Deep Multivariate Time-Series Anomaly Detection,Wagner D.,Transactions on Machine Learning Research,2023-01-01,54,,,Q3 时间序列异常检测的评价批评,被引最多,3
SimAD: A Simple Dissimilarity-Based Approach for Time-Series Anomaly Detection,Zhong Z.,IEEE Transactions on Neural Networks and Learning Systems,2025-11-01,18,10.1109/TNNLS.2025.3590220,,Q3 时间序列异常检测的评价批评,被引最多,4
PATE: Proximity-Aware Time Series Anomaly Evaluation,Ghorbani R.,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2024-08-24,17,10.1145/3637528.3671971,,Q3 时间序列异常检测的评价批评,被引最多,5
Range Based Confusion Matrix for Imbalanced Time Series Classification,Zhou X.,Proceedings 2020 6th Conference on Data Science and Machine Learning Applications Cdma 2020,2020-03-01,15,10.1109/CDMA47397.2020.00006,,Q3 时间序列异常检测的评价批评,被引最多,6
A Robust Framework for Evaluation of Unsupervised Time-Series Anomaly Detection,Gungor O.,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,2025-01-01,8,10.1007/978-3-031-78395-1_4,,Q3 时间序列异常检测的评价批评,被引最多,7
"Position: Quo Vadis, Unsupervised Time Series Anomaly Detection?",Sarfraz M.S.,Proceedings of Machine Learning Research,2024-01-01,8,,,Q3 时间序列异常检测的评价批评,被引最多,8
Deep anomaly detection for industrial systems: A case study,Xue F.,Proceedings of the Annual Conference of the Prognostics and Health Management Society Phm,2020-11-03,6,10.36001/phmconf.2020.v12i1.1186,,Q3 时间序列异常检测的评价批评,被引最多,9
Multivariate Time Series Anomaly Detection: Fancy Algorithms and Flawed Evaluation Methodology,El Amine Sehili M.,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,2024-01-01,3,10.1007/978-3-031-68031-1_1,,Q3 时间序列异常检测的评价批评,被引最多,10
Multi-output stability prediction of salt cavern energy storage using optimized machine learning model with interpretable features,Li D.,Fuel,2027-02-01,0,10.1016/j.fuel.2026.140990,,Q4 超参/模型选择的不稳定性,相关度/默认,1
Enhancing Model Generalization in Index Futures Markets via Evolutionary Optimization and Data Leakage-Free Feature Engineering,Costa O.Z.D.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-3-032-30488-9_34,,Q4 超参/模型选择的不稳定性,相关度/默认,2
"28th International Conference on Pattern Recognition, ICPR 2026",,Lecture Notes in Computer Science,2027-01-01,0,,,Q4 超参/模型选择的不稳定性,相关度/默认,3
Benchmarking Temporal Fusion Transformer for Multi-store Walmart Weekly Sales Forecasting with SOTA and Seasonal Models,Patel H.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-981-92-2480-7_18,,Q4 超参/模型选择的不稳定性,相关度/默认,4
Advanced Cardiovascular Risk Stratification Using Hybrid Ensemble Learning and Deep Feature Engineering: A Multi-cohort Validation Study,Devi R.D.H.,Smart Innovation Systems and Technologies,2027-01-01,0,10.1007/978-3-032-29237-7_8,,Q4 超参/模型选择的不稳定性,相关度/默认,5
Interpretable machine learning prediction of stability constants for metal-ligand complexes in complex coordination systems,Liang R.,Separation and Purification Technology,2026-12-07,0,10.1016/j.seppur.2026.140104,,Q4 超参/模型选择的不稳定性,相关度/默认,6
Comparative evaluation of machine learning models for predicting the overall noise and vibration of diesel engines with structural modifications,Yu Y.,Applied Acoustics,2026-12-05,0,10.1016/j.apacoust.2026.111470,,Q4 超参/模型选择的不稳定性,相关度/默认,7
Machine learning models for smart grid stability prediction: a comparative analysis,Ali A.M.,Scientific Reports,2026-12-01,1,10.1038/s41598-026-47385-x,,Q4 超参/模型选择的不稳定性,相关度/默认,8
Automated slope stability assessment using modified Morgenstern-Price method and machine learning integration,Showkat M.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-38670-w,,Q4 超参/模型选择的不稳定性,相关度/默认,9
"A robust multi-class bearing fault diagnosis framework using envelope analysis, cepstrum prewhitening and machine learning",Mishra R.,Journal of Engineering and Applied Science,2026-12-01,0,10.1186/s44147-026-01189-y,,Q4 超参/模型选择的不稳定性,相关度/默认,10
The sparsity and bias of the lasso selection in high-dimensional linear regression,Zhang C.H.,Annals of Statistics,2008-08-01,585,10.1214/07-AOS520,,Q4 超参/模型选择的不稳定性,被引最多,1
"Predicting hard rock pillar stability using GBDT, XGBoost, and LightGBM algorithms",Liang W.,Mathematics,2020-05-01,494,10.3390/MATH8050765,,Q4 超参/模型选择的不稳定性,被引最多,2
The path to proton structure at 1% accuracy: NNPDF Collaboration,Ball R.D.,European Physical Journal C,2022-05-01,375,10.1140/epjc/s10052-022-10328-7,,Q4 超参/模型选择的不稳定性,被引最多,3
Assessment of landslide susceptibility mapping based on Bayesian hyperparameter optimization: A comparison between logistic regression and random forest,Sun D.,Engineering Geology,2021-02-01,361,10.1016/j.enggeo.2020.105972,,Q4 超参/模型选择的不稳定性,被引最多,4
Benchmarking graph neural networks for materials chemistry,Fung V.,Npj Computational Materials,2021-12-01,296,10.1038/s41524-021-00554-0,,Q4 超参/模型选择的不稳定性,被引最多,5
Evolution-guided policy gradient in reinforcement learning,Khadka S.,Advances in Neural Information Processing Systems,2018-01-01,268,,,Q4 超参/模型选择的不稳定性,被引最多,6
Bayesian inference and optimal design for the sparse linear model,Seeger M.W.,Journal of Machine Learning Research,2008-04-01,208,,,Q4 超参/模型选择的不稳定性,被引最多,7
"Comprehensive review of machine learning in geotechnical reliability analysis: Algorithms, applications and further challenges",Zhang W.,Applied Soft Computing,2023-03-01,207,10.1016/j.asoc.2023.110066,,Q4 超参/模型选择的不稳定性,被引最多,8
A Simplified LSTM Neural Networks for One Day-Ahead Solar Power Forecasting,Liu C.H.,IEEE Access,2021-01-01,194,10.1109/ACCESS.2021.3053638,,Q4 超参/模型选择的不稳定性,被引最多,9
Intelligent fault identification of hydraulic pump using deep adaptive normalized CNN and synchrosqueezed wavelet transform,Tang S.,Reliability Engineering and System Safety,2022-08-01,167,10.1016/j.ress.2022.108560,,Q4 超参/模型选择的不稳定性,被引最多,10
ADNet: A multi-domain benchmark for anomaly detection across 380 real-world categories,Ling H.,Pattern Recognition,2027-02-01,0,10.1016/j.patcog.2026.114786,,Q5 normal-only 训练,相关度/默认,1
UniCO: A unified cross-view collaboration network for industrial time series anomaly detection with limited normal samples,Yao B.,Information Sciences,2027-01-15,0,10.1016/j.ins.2026.124037,,Q5 normal-only 训练,相关度/默认,2
FeatDeNoiseNet: Multi-scale Structure-Consistent Manifold Modeling for Unsupervised Anomaly Localization,Fei H.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-981-92-3403-5_36,,Q5 normal-only 训练,相关度/默认,3
Anomaly Localization and Classification of Jaw Cysts and Tumours Using Anatomy-Conditioned Diffusion on Panoramic Radiographs,Kim S.,International Dental Journal,2026-12-01,0,10.1016/j.identj.2026.111107,,Q5 normal-only 训练,相关度/默认,4
MCLA: A self-supervised learning-powered lightweight multi-scale convolutional linear attention framework for unknown attack detection in maritime IoT intrusion detection systems,Zhengye L.,Applied Soft Computing,2026-10-01,0,10.1016/j.asoc.2026.115726,,Q5 normal-only 训练,相关度/默认,5
Deployment-Oriented Causal Decision Stabilization for Fixed-FPR Constrained Streaming Industrial Acoustic Anomaly Detection in IIoT,Gong C.S.,IEEE Internet of Things Journal,2026-09-01,0,10.1109/JIOT.2026.3711873,,Q5 normal-only 训练,相关度/默认,6
Research on industrial anomaly detection of PCB based on multi-layer fusion PatchCore,Bao W.,Signal Image and Video Processing,2026-09-01,0,10.1007/s11760-026-05623-9,,Q5 normal-only 训练,相关度/默认,7
Multi-Resolution Acoustic Prototype Anchoring for Limited-Sample Industrial Anomalous Sound Detection,Shi P.,Energies,2026-08-01,0,10.3390/en19153530,,Q5 normal-only 训练,相关度/默认,8
A novel method for anomaly detection using graph signal embedding: Application to anomalous sound detection,Mnasri Z.,Expert Systems with Applications,2026-07-25,0,10.1016/j.eswa.2026.132278,,Q5 normal-only 训练,相关度/默认,9
From anomaly detection to incremental anomaly detection for rotating machinery based on adversarial autoencoder,Guo Z.,Measurement Science and Technology,2026-07-17,0,10.1088/1361-6501/ae87bb,,Q5 normal-only 训练,相关度/默认,10
Enhancing one-class Support Vector Machines for unsupervised anomaly detection,Amer M.,Proceedings of the ACM SIGKDD Workshop on Outlier Detection and Description Odd 2013,2013-12-24,424,10.1145/2500853.2500857,,Q5 normal-only 训练,被引最多,1
Modeling the distribution of normal data in pre-trained deep features for anomaly detection,Rippel O.,Proceedings International Conference on Pattern Recognition,2020-01-01,259,10.1109/ICPR48806.2021.9412109,,Q5 normal-only 训练,被引最多,2
Fast anomaly detection for streaming data,Tan S.C.,Ijcai International Joint Conference on Artificial Intelligence,2011-12-01,239,10.5591/978-1-57735-516-8/IJCAI11-254,,Q5 normal-only 训练,被引最多,3
Margin learning embedded prediction for video anomaly detection with a few anomalies,Liu W.,Ijcai International Joint Conference on Artificial Intelligence,2019-01-01,129,10.24963/ijcai.2019/419,,Q5 normal-only 训练,被引最多,4
Anomaly detection of gas turbines based on normal pattern extraction,Bai M.,Applied Thermal Engineering,2020-02-05,99,10.1016/j.applthermaleng.2019.114664,,Q5 normal-only 训练,被引最多,5
Robust support vector data description for outlier detection with noise or uncertain data,Chen G.,Knowledge Based Systems,2015-12-01,98,10.1016/j.knosys.2015.09.025,,Q5 normal-only 训练,被引最多,6
A Hybrid Algorithm Incorporating Vector Quantization and One-Class Support Vector Machine for Industrial Anomaly Detection,Pang J.,IEEE Transactions on Industrial Informatics,2022-12-01,88,10.1109/TII.2022.3145834,,Q5 normal-only 训练,被引最多,7
Data-Driven Anomaly Detection for UAV Sensor Data Based on Deep Learning Prediction Model,Wang B.,Proceedings 2019 Prognostics and System Health Management Conference Phm Paris 2019,2019-05-01,86,10.1109/PHM-Paris.2019.00055,,Q5 normal-only 训练,被引最多,8
Rolling bearing initial fault detection using long short-term memory recurrent network,Shi H.,IEEE Access,2019-01-01,82,10.1109/ACCESS.2019.2954091,,Q5 normal-only 训练,被引最多,9
Synthetic Temporal Anomaly Guided End-to-End Video Anomaly Detection,Astrid M.,Proceedings of the IEEE International Conference on Computer Vision,2021-01-01,78,10.1109/ICCVW54120.2021.00028,,Q5 normal-only 训练,被引最多,10
Risk-aware inverse design of char yield and energy quality in solid waste pyrolysis using test-validated machine learning surrogates,Chen J.,Fuel,2027-01-15,0,10.1016/j.fuel.2026.140214,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,1
Mineral prospectivity mapping under extreme imbalance using contrastive embeddings balanced learning and integrated uncertainty analysis,Nidhi D.K.,Discover Computing,2026-12-01,0,10.1007/s10791-026-10192-z,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,2
Toward sustainable energy production: a comparative machine learning framework for predicting green hydrogen cost across the african continent,Elewa A.M.T.,Scientific Reports,2026-12-01,2,10.1038/s41598-026-47726-w,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,3
Digital twin-based machine learning framework for predicting nonlinear seismic response of reinforced concrete shear walls using analytical data,Kuria K.K.,Scientific Reports,2026-12-01,2,10.1038/s41598-025-32626-2,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,4
An explainable machine learning framework integrating hybrid feature selection and interaction modeling for hepatitis C stage prediction,Lamba R.,Discover Computing,2026-12-01,0,10.1007/s10791-026-10292-w,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,5
A leakage-controlled machine learning framework for postprandial triglyceride phenotyping using synthetic clinical data,Piyavechvirat N.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-47362-4,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,6
Gender disparities in random blood glucose levels among Pakistani adults with type 2 diabetes: a cross-sectional analysis,Khan R.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-52654-w,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,7
MRI-based radiomics analysis and machine learning in the differentiation of endometriomas from hemorrhagic ovarian cysts,Doostparast A.,European Journal of Radiology Open,2026-12-01,0,10.1016/j.ejro.2026.100818,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,8
Beyond peak accuracy: a stability-centric framework for reliable multimodal student engagement assessment,Almuniri I.S.,Scientific Reports,2026-12-01,2,10.1038/s41598-025-31215-7,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,9
Less is more? A hybrid machine learning and psychometric approach to identifying clinically relevant psychopathology in Chinese youth using the Child Behaviour Checklist,Luo J.,Child and Adolescent Psychiatry and Mental Health,2026-12-01,0,10.1186/s13034-026-01087-4,,Q6 重复重采样/嵌套交叉验证的方差,相关度/默认,10
Cross-validation pitfalls when selecting and assessing regression and classification models,Krstajic D.,Journal of Cheminformatics,2014-03-29,930,10.1186/1758-2946-6-10,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,1
Data driven prediction models of energy use of appliances in a low-energy house,Candanedo L.M.,Energy and Buildings,2017-04-01,533,10.1016/j.enbuild.2017.01.083,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,2
Cross-Validation: What Does It Estimate and How Well Does It Do It?,Bates S.,Journal of the American Statistical Association,2024-01-01,344,10.1080/01621459.2023.2197686,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,3
Bootstrapping the out-of-sample predictions for efficient and accurate cross-validation,Tsamardinos I.,Machine Learning,2018-12-01,186,10.1007/s10994-018-5714-4,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,4
Multi-polygenic score approach to trait prediction,Krapohl E.,Molecular Psychiatry,2018-05-01,160,10.1038/mp.2017.163,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,5
Reliable estimation of prediction errors for QSAR models under model uncertainty using double cross-validation,Baumann D.,Journal of Cheminformatics,2014-01-01,136,10.1186/s13321-014-0047-1,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,6
Uncertainty-informed deep learning models enable high-confidence predictions for digital histopathology,Dolezal J.M.,Nature Communications,2022-12-01,131,10.1038/s41467-022-34025-x,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,7
Classifying brain metastases by their primary site of origin using a radiomics approach based on texture analysis: a feasibility study,Ortiz-Ramón R.,European Radiology,2018-11-01,129,10.1007/s00330-018-5463-6,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,8
Quantile regression as a generic approach for estimating uncertainty of digital soil maps produced from machine-learning,Kasraei B.,Environmental Modelling and Software,2021-10-01,93,10.1016/j.envsoft.2021.105139,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,9
Choice of v for V-fold cross-validation in least-squares density estimation,Arlot S.,Journal of Machine Learning Research,2016-12-01,82,,,Q6 重复重采样/嵌套交叉验证的方差,被引最多,10
Physics-informed masked generative augmentation for few-shot acoustic fault diagnosis of power transformers,Li Q.,Electric Power Systems Research,2027-03-01,0,10.1016/j.epsr.2026.113870,,Q7 评估协议（状态监测）,相关度/默认,1
A Compact CNN-Transformer Model for Robust Fault Diagnosis in Large-Scale Chemical Processes,Pal P.K.,International Journal of Prognostics and Health Management,2026-12-28,0,10.36001/ijphm.2026.v17i1.4744,,Q7 评估协议（状态监测）,相关度/默认,2
An attention-weighted hybrid feature learning framework for bearing fault diagnosis and maintenance cost optimization,Li Z.,Scientific Reports,2026-12-01,1,10.1038/s41598-026-55303-4,,Q7 评估协议（状态监测）,相关度/默认,3
SemanticRail3D - A Mobile LiDAR Benchmark for Semantic and Instance Segmentation of Railway Corridors,Ghasemlou A.,Scientific Data,2026-12-01,4,10.1038/s41597-025-06392-9,,Q7 评估协议（状态监测）,相关度/默认,4
Hybrid deep learning approaches for photovoltaic fault detection: From supervised CNNs to self-supervised masked autoencoders,Nassereddine M.,Computers and Electrical Engineering,2026-11-01,0,10.1016/j.compeleceng.2026.111478,,Q7 评估协议（状态监测）,相关度/默认,5
Explainable assessment of military lubricant quality using learnable edge functions in Kolmogorov–Arnold Networks,Martínez-Heredia A.M.,Engineering Applications of Artificial Intelligence,2026-10-01,0,10.1016/j.engappai.2026.115454,,Q7 评估协议（状态监测）,相关度/默认,6
Deep learning for anomaly detection in railway systems: A structured survey,Bouketta A.,Engineering Applications of Artificial Intelligence,2026-10-01,0,10.1016/j.engappai.2026.115776,,Q7 评估协议（状态监测）,相关度/默认,7
Supervised Boltzmann-machine-based Voting Method for AHU sensor fault diagnosis,Wang H.,Journal of Process Control,2026-09-01,0,10.1016/j.jprocont.2026.103809,,Q7 评估协议（状态监测）,相关度/默认,8
