query_id,year,citations,title,venue,doi
EVAL_pitfall,2006,19135,An introduction to ROC analysis,Pattern Recognition Letters,10.1016/j.patrec.2005.10.010
EVAL_pitfall,2015,2763,The evaluation of tumor-infiltrating lymphocytes (TILS) in breast cancer: Recommendations by an International TILS Working Group 2014,Annals of Oncology,10.1093/annonc/mdu450
EVAL_pitfall,2020,1333,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks,37th International Conference on Machine Learning Icml 2020,
EVAL_pitfall,2018,664,Deep-learning-assisted diagnosis for knee magnetic resonance imaging: Development and retrospective validation of MRNet,Plos Medicine,10.1371/journal.pmed.1002699
EVAL_pitfall,2023,623,Machine Learning in Environmental Research: Common Pitfalls and Best Practices,Environmental Science and Technology,10.1021/acs.est.3c00026
EVAL_repro,2021,615,Applications of Unsupervised Deep Transfer Learning to Intelligent Fault Diagnosis: A Survey and Comparative Study,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2021.3116309
EVAL_repro,2001,533,Reconstruction-based fault identification using a combined index,Industrial and Engineering Chemistry Research,10.1021/ie000141+
EVAL_repro,2020,233,A novel bearing intelligent fault diagnosis framework under time-varying working conditions using recurrent neural network,ISA Transactions,10.1016/j.isatra.2019.11.010
EVAL_repro,2018,229,Evaluation of low-cost sensors for ambient PM2.5 monitoring,Journal of Sensors,10.1155/2018/5096540
EVAL_repro,2014,171,Novel neural networks-based fault tolerant control scheme with fault alarm,IEEE Transactions on Cybernetics,10.1109/TCYB.2014.2303131
LEVEL_window_file,2023,204,Dual Memory Units with Uncertainty Regulation forWeakly Supervised Video Anomaly Detection,Proceedings of the 37th Aaai Conference on Artificial Intelligence Aaai 2023,10.1609/aaai.v37i3.25489
LEVEL_window_file,2024,172,TimesURL: Self-Supervised Contrastive Learning for Universal Time Series Representation Learning,Proceedings of the Aaai Conference on Artificial Intelligence,10.1609/aaai.v38i12.29299
LEVEL_window_file,2022,140,Unsupervised Time-Series Representation Learning with Iterative Bilinear Temporal-Spectral Fusion,Proceedings of Machine Learning Research,
LEVEL_window_file,2025,48,An X-Ray-Based Multiexpert Inspection Method for Automatic Welding Defect Assessment in Intelligent Pipeline Systems,IEEE ASME Transactions on Mechatronics,10.1109/TMECH.2024.3408337
LEVEL_window_file,2024,47,Time-segment-wise feature fusion transformer for multi-modal fault diagnosis,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2024.109358
GENERAL_cross,2023,405,Deep discriminative transfer learning network for cross-machine fault diagnosis,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2022.109884
GENERAL_cross,2025,171,LLM-based framework for bearing fault diagnosis,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2024.112127
GENERAL_cross,2024,168,Deep transfer learning strategy in intelligent fault diagnosis of rotating machinery,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2024.108678
GENERAL_cross,2020,134,Intelligent cross-machine fault diagnosis approach with deep auto-encoder and domain adaptation,Neurocomputing,10.1016/j.neucom.2019.12.033
GENERAL_cross,2024,130,Causal Disentanglement Domain Generalization for time-series signal fault diagnosis,Neural Networks,10.1016/j.neunet.2024.106099
GENERAL_domain,2021,615,Applications of Unsupervised Deep Transfer Learning to Intelligent Fault Diagnosis: A Survey and Comparative Study,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2021.3116309
GENERAL_domain,2024,544,Domain generalization for cross-domain fault diagnosis: An application-oriented perspective and a benchmark study,Reliability Engineering and System Safety,10.1016/j.ress.2024.109964
GENERAL_domain,2019,496,Multi-Layer domain adaptation method for rolling bearing fault diagnosis,Signal Processing,10.1016/j.sigpro.2018.12.005
GENERAL_domain,2019,399,Cross-domain fault diagnosis of rolling element bearings using deep generative neural networks,IEEE Transactions on Industrial Electronics,10.1109/TIE.2018.2868023
GENERAL_domain,2020,310,Domain Adversarial Transfer Network for Cross-Domain Fault Diagnosis of Rotary Machinery,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2020.2995441
BASELINE_oneclass,2022,339,An explainable artificial intelligence approach for unsupervised fault detection and diagnosis in rotating machinery,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2021.108105
BASELINE_oneclass,2022,245,Vibration-based anomaly detection using LSTM/SVM approaches,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2021.108752
BASELINE_oneclass,2019,242,Unsupervised electric motor fault detection by using deep autoencoders,IEEE Caa Journal of Automatica Sinica,10.1109/JAS.2019.1911393
BASELINE_oneclass,2013,200,Automatic bearing fault diagnosis based on one-class m-SVM,Computers and Industrial Engineering,10.1016/j.cie.2012.10.013
BASELINE_oneclass,2021,190,A deep learning model for process fault prognosis,Process Safety and Environmental Protection,10.1016/j.psep.2021.08.022
NEG_prereg,2022,476,Small Effects: The Indispensable Foundation for a Cumulative Psychological Science,Perspectives on Psychological Science,10.1177/1745691620984483
NEG_prereg,2017,52,Neuroadaptive Bayesian Optimization and Hypothesis Testing,Trends in Cognitive Sciences,10.1016/j.tics.2017.01.006
NEG_prereg,2025,42,Benefits and harms associated with the use of AI-related algorithmic decision-making systems by healthcare professionals: a systematic review,Lancet Regional Health Europe,10.1016/j.lanepe.2024.101145
NEG_prereg,2025,36,External validation of machine learning models—registered models and adaptive sample splitting,Gigascience,10.1093/gigascience/giaf036
NEG_prereg,2023,34,Developmental data science: How machine learning can advance theory formation in Developmental Psychology,Infant and Child Development,10.1002/icd.2370
NEG_negative,2020,5373,The advantages of the Matthews correlation coefficient (MCC) over F1 score and accuracy in binary classification evaluation,BMC Genomics,10.1186/s12864-019-6413-7
NEG_negative,2019,1915,End-to-end lung cancer screening with three-dimensional deep learning on low-dose chest computed tomography,Nature Medicine,10.1038/s41591-019-0447-x
NEG_negative,2014,860,Hierarchical feature representation and multimodal fusion with deep learning for AD/MCI diagnosis,Neuroimage,10.1016/j.neuroimage.2014.06.077
NEG_negative,2019,618,Magnetic resonance imaging-based brain tumor grades classification and grading via convolutional neural networks and genetic algorithms,Biocybernetics and Biomedical Engineering,10.1016/j.bbe.2018.10.004
NEG_negative,2020,607,Artificial intelligence in cancer diagnosis and prognosis: Opportunities and challenges,Cancer Letters,10.1016/j.canlet.2019.12.007
